attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status,dpd,risk_segment,contact_date,contact_hour,contact_dow
,ACC0009527,BRW0000705,2026-03-10 21:31:13,CALL0019052,AGT0000685,1970-01-01 00:00:00.000000005,VND0000013,,1,MEDIUM,2026-03-10,21,Tuesday
,ACC0007960,BRW0002732,2026-05-01 20:55:02,CALL0011950,AGT0000472,1970-01-01 00:00:00.000000004,VND0000006,,75,MEDIUM,2026-05-01,20,Friday
,ACC0016476,BRW0002174,2026-06-05 20:57:37,CALL0017411,AGT0000035,1970-01-01 00:00:00.000000001,VND0000015,,180,HIGH,2026-06-05,20,Friday
,ACC0011111,BRW0003738,2026-05-02 06:08:39,CALL0068999,AGT0000277,1970-01-01 00:00:00.000000003,VND0000010,,1,LOW,2026-05-02,6,Saturday
,ACC0010343,BRW0003352,2026-05-27 03:48:23,CALL0049585,AGT0000346,1970-01-01 00:00:00.000000005,VND0000008,,0,HIGH,2026-05-27,3,Wednesday
,ACC0014035,BRW0005078,2026-01-07 10:16:57,CALL0007956,AGT0000819,1970-01-01 00:00:00.000000007,VND0000003,,45,LOW,2026-01-07,10,Wednesday
,ACC0011770,BRW0000678,2026-05-20 04:59:57,CALL0086707,AGT0000880,1970-01-01 00:00:00.000000005,VND0000004,,1,HIGH,2026-05-20,4,Wednesday
,ACC0016760,BRW0001406,2026-04-10 20:44:44,CALL0007648,AGT0000638,1970-01-01 00:00:00.000000002,VND0000003,,0,HIGH,2026-04-10,20,Friday
,ACC0000632,BRW0009799,2026-06-16 10:07:43,CALL0020133,AGT0000277,1970-01-01 00:00:00.000000001,VND0000002,,0,HIGH,2026-06-16,10,Tuesday
,ACC0024973,BRW0008233,2026-06-16 04:58:32,CALL0029166,AGT0000830,1970-01-01 00:00:00.000000003,VND0000008,,1,LOW,2026-06-16,4,Tuesday
,ACC0025069,BRW0008621,2026-06-29 00:57:51,CALL0084328,AGT0000947,1970-01-01 00:00:00.000000003,VND0000005,,15,MEDIUM,2026-06-29,0,Monday
,ACC0014145,BRW0008165,2026-05-09 00:05:52,CALL0018742,AGT0000188,1970-01-01 00:00:00.000000002,VND0000002,,15,MEDIUM,2026-05-09,0,Saturday
,ACC0027399,BRW0005763,2026-07-19 09:52:38,CALL0065054,AGT0000340,1970-01-01 00:00:00.000000006,VND0000009,,120,HIGH,2026-07-19,9,Sunday
,ACC0025466,BRW0010209,2026-02-08 10:45:39,CALL0009146,AGT0000114,1970-01-01 00:00:00.000000004,VND0000010,,60,HIGH,2026-02-08,10,Sunday
,ACC0017598,BRW0001666,2026-07-30 04:57:20,CALL0088445,AGT0000328,1970-01-01 00:00:00.000000005,VND0000006,,60,NPA,2026-07-30,4,Thursday
,ACC0000692,BRW0005684,2026-03-27 09:41:46,CALL0072659,AGT0000274,1970-01-01 00:00:00.000000007,VND0000010,,180,MEDIUM,2026-03-27,9,Friday
,ACC0006611,BRW0007113,2026-05-02 05:18:16,CALL0046105,AGT0000830,1970-01-01 00:00:00.000000006,VND0000006,,120,MEDIUM,2026-05-02,5,Saturday
,ACC0026239,BRW0008616,2026-03-06 03:21:33,CALL0014743,AGT0000103,1970-01-01 00:00:00.000000005,VND0000006,,75,NPA,2026-03-06,3,Friday
,ACC0016519,BRW0000684,2026-05-24 05:19:14,CALL0050051,AGT0000841,1970-01-01 00:00:00.000000007,VND0000001,,1,LOW,2026-05-24,5,Sunday
,ACC0003922,BRW0004833,2026-01-18 20:30:55,CALL0040287,AGT0000320,1970-01-01 00:00:00.000000003,VND0000003,,0,LOW,2026-01-18,20,Sunday
,ACC0019806,BRW0005501,2026-05-03 02:36:25,CALL0075145,AGT0000910,1970-01-01 00:00:00.000000003,VND0000009,,120,HIGH,2026-05-03,2,Sunday
,ACC0009472,BRW0001917,2026-07-30 04:24:06,CALL0005021,AGT0000261,1970-01-01 00:00:00.000000004,VND0000006,,1,NPA,2026-07-30,4,Thursday
